dqn,date,km,moto
10AN099,2/1/2026,0,0
10AN099,2/2/2026,85.65,0
10AN099,2/3/2026,94.98,0
10AN099,2/4/2026,109.73,0
10AN099,2/5/2026,131.25,0
10AN099,2/6/2026,134.87,0
10AN099,2/7/2026,0,0
10AN099,2/8/2026,0,0
10AN099,2/9/2026,124.96,0
10AN099,2/10/2026,78.44,0
10AN099,2/11/2026,125.96,0
10AN099,2/12/2026,106.6,0
10AN099,2/13/2026,150.01,0
10AN099,2/14/2026,0,0
10AN099,2/15/2026,0,0
10AN099,2/16/2026,102.59,0
10AN099,2/17/2026,60.21,0
99JN628,2/1/2026,0,0
99JN628,2/2/2026,218.55,0
99JN628,2/3/2026,49.37,0
99JN628,2/4/2026,24.37,0
99JN628,2/5/2026,89.53,0
99JN628,2/6/2026,32.26,0
99JN628,2/7/2026,31.19,0
99JN628,2/8/2026,0,0
99JN628,2/9/2026,52.99,0
99JN628,2/10/2026,68.69,0
99JN628,2/11/2026,87.8,0
99JN628,2/12/2026,61.76,0
99JN628,2/13/2026,92.7,0
99JN628,2/14/2026,73.71,0
99JN628,2/15/2026,0,0
99JN628,2/16/2026,60.21,0
99JN628,2/17/2026,18.34,0
99JN628,2/18/2026,22.38,0
99JN628,2/19/2026,15.29,0
99JN628,2/20/2026,26.21,0
99JN628,2/21/2026,0,0
99JN628,2/22/2026,0,0
99JN628,2/23/2026,0,0
10PC298,2/1/2026,0,0
10PC298,2/2/2026,137.13,0
10PC298,2/3/2026,154.48,0
10PC298,2/4/2026,106.39,0
10PC298,2/5/2026,121.02,0
10PC298,2/6/2026,123.94,0
10PC298,2/7/2026,0,0
10PC298,2/8/2026,0,0
10PC298,2/9/2026,168.62,0
10PC298,2/10/2026,87.27,0
10PC298,2/11/2026,102.71,0
10PC298,2/12/2026,140.86,0
10PC298,2/13/2026,81.85,0
10PC298,2/14/2026,0,0
10PC298,2/15/2026,0,0
10PC298,2/16/2026,104.16,0
10PC298,2/17/2026,85.85,0
10PC298,2/18/2026,108.26,0
10PC298,2/19/2026,90.75,0
10PC298,2/20/2026,95.46,0
10PC298,2/21/2026,0,0
10PC298,2/22/2026,0,0
10PC298,2/23/2026,11.32,0
99JN643,2/1/2026,102.22,0
99JN643,2/2/2026,234.07,0
99JN643,2/3/2026,126.61,0
99JN643,2/4/2026,125.87,0
99JN643,2/5/2026,97.89,0
99JN643,2/6/2026,107.63,0
99JN643,2/7/2026,108.84,0
